"","adj","vb","emot","polaridade","positivo","negativo","tamanho","tamanhoUtil","status"
"1",9,5,0,0,4,5,99,93,"fake"
"2",21,11,0,0,7,7,143,137,"fake"
"3",34,3,0,0,10,15,153,150,"fake"
"4",71,10,0,1,23,16,339,325,"fake"
"5",11,5,0,0,2,3,66,61,"fake"
"6",12,1,0,0,3,7,56,54,"fake"
"7",11,3,0,0,2,2,66,63,"fake"
"8",24,9,0,1,7,4,130,122,"fake"
"9",9,4,0,1,7,3,41,40,"fake"
"10",24,8,0,0,6,13,102,99,"fake"
"11",26,4,0,1,8,3,148,142,"fake"
"12",15,10,0,0,5,11,87,87,"fake"
"13",21,5,0,1,14,6,95,87,"fake"
"14",16,4,0,1,11,5,92,91,"fake"
"15",9,4,0,0,1,4,54,52,"fake"
"16",95,30,0,0,35,52,417,376,"fake"
"17",19,6,0,1,6,3,105,98,"fake"
"18",14,2,0,1,6,5,67,64,"fake"
"19",68,12,0,1,27,23,282,269,"fake"
"20",15,5,0,1,6,3,115,108,"fake"
"21",26,6,0,0,8,17,130,125,"fake"
"22",6,4,0,1,3,2,47,45,"fake"
"23",10,2,0,0,1,6,73,70,"fake"
"24",23,8,0,1,10,9,100,95,"fake"
"25",45,2,0,0,8,16,184,181,"fake"
"26",24,10,0,0,6,13,107,103,"fake"
"27",54,8,0,0,13,21,204,200,"fake"
"28",16,3,0,1,6,3,91,86,"fake"
"29",20,5,0,1,7,6,122,115,"fake"
"30",8,4,0,0,2,4,64,63,"fake"
"31",4,0,0,0,0,2,40,38,"fake"
"32",18,5,0,0,4,8,145,134,"fake"
"33",9,0,0,0,2,3,62,59,"fake"
"34",15,3,0,0,6,6,77,75,"fake"
"35",8,4,0,0,3,3,54,52,"fake"
"36",13,16,0,1,13,4,95,91,"fake"
"37",12,4,0,0,5,5,54,50,"fake"
"38",12,0,0,1,4,2,54,52,"fake"
"39",7,1,0,0,2,4,74,72,"fake"
"40",13,6,0,1,11,5,62,62,"fake"
"41",31,13,0,0,11,13,119,113,"fake"
"42",18,6,0,0,4,4,103,96,"fake"
"43",8,2,0,1,4,1,62,59,"fake"
"44",32,9,0,1,16,9,154,145,"fake"
"45",8,5,0,0,5,5,57,52,"fake"
"46",17,3,0,0,0,6,72,68,"fake"
"47",67,19,0,0,24,27,295,287,"fake"
"48",8,2,0,0,3,4,54,54,"fake"
"49",1,4,0,1,2,1,58,50,"fake"
"50",10,1,0,0,2,7,41,40,"fake"
"51",17,9,0,0,5,5,123,120,"fake"
"52",9,4,0,0,3,5,40,37,"fake"
"53",13,14,0,1,13,3,97,92,"fake"
"54",23,5,0,1,8,3,165,160,"fake"
"55",16,8,0,1,10,7,112,105,"fake"
"56",6,2,0,1,4,1,58,57,"fake"
"57",9,6,0,1,6,2,48,48,"fake"
"58",62,24,0,0,27,27,401,384,"fake"
"59",11,6,0,0,3,4,76,72,"fake"
"60",16,9,0,0,2,12,93,89,"fake"
"61",21,3,0,1,7,5,102,95,"fake"
"62",51,23,0,1,20,9,303,294,"fake"
"63",18,7,0,0,7,9,93,85,"fake"
"64",13,2,0,1,10,4,48,47,"fake"
"65",17,2,0,0,2,7,98,94,"fake"
"66",26,9,0,1,8,7,134,126,"fake"
"67",8,0,0,0,2,3,50,48,"fake"
"68",43,6,0,1,15,6,181,176,"fake"
"69",27,14,0,1,16,3,146,142,"fake"
"70",22,5,0,1,8,7,79,79,"fake"
"71",28,4,0,1,6,5,153,148,"fake"
"72",9,9,0,1,8,3,70,65,"fake"
"73",18,4,0,1,7,6,105,98,"fake"
"74",18,5,0,1,6,4,84,76,"fake"
"75",17,8,0,0,5,7,94,89,"fake"
"76",11,13,0,0,6,8,134,128,"fake"
"77",19,6,0,1,10,8,98,89,"fake"
"78",18,8,0,0,5,9,136,130,"fake"
"79",13,5,0,0,6,6,77,76,"fake"
"80",37,21,0,1,18,16,205,191,"fake"
"81",0,2,0,0,0,2,14,14,"fake"
"82",17,4,0,1,8,3,119,117,"fake"
"83",23,2,0,0,2,10,130,124,"fake"
"84",12,1,0,0,3,4,77,73,"fake"
"85",14,5,0,0,3,8,87,84,"fake"
"86",19,13,0,1,13,4,147,144,"fake"
"87",7,2,0,0,2,2,49,48,"fake"
"88",46,7,0,1,19,11,165,159,"fake"
