"";"palavras";"n";"tot_rel"
"1";"nao";6229;0,016029872332322
"2";"lula";3059;0,00787211100731625
"3";"disse";2200;0,00566153782807968
"4";"dilma";1861;0,00478914631729831
"5";"presidente";1843;0,00474282464415948
"6";"ser";1632;0,00419983169792093
"7";"tambem";1580;0,00406601353107541
"8";"ja";1468;0,00377778978710044
"9";"brasil";1413;0,00363625134139845
"10";"sao";1393;0,00358478281568864
"11";"pais";1292;0,00332486676085407
"12";"governo";1194;0,00307267098487597
"13";"temer";1183;0,00304436329573558
"14";"federal";1176;0,00302634931173714
"15";"r";1163;0,00299289477002576
"16";"sobre";1130;0,00290797170260456
"17";"anos";1093;0,00281275493004141
"18";"ainda";954;0,00245504867635819
"19";"ate";938;0,00241387385579034
"20";"contra";930;0,00239328644550641
"21";"vai";894;0,00230064309922874
"22";"ministro";893;0,00229806967294325
"23";"acordo";892;0,00229549624665776
"24";"durante";857;0,00220542632666559
"25";"pode";856;0,0022028529003801
"26";"pt";849;0,00218483891638166
"27";"moro";846;0,00217711863752519
"28";"milhoes";829;0,00213337039067184
"29";"hoje";825;0,00212307668552988
"30";"estao";786;0,00202271306039574
"31";"ter";782;0,00201241935525378
"32";"diz";771;0,00198411166611338
"33";"sera";765;0,00196867110840044
"34";"apos";740;0,00190433545126317
"35";"sergio";740;0,00190433545126317
"36";"video";739;0,00190176202497768
"37";"ha";733;0,00188632146726473
"38";"dia";729;0,00187602776212277
"39";"dinheiro";725;0,0018657340569808
"40";"pessoas";707;0,00181941238384197
"41";"voce";693;0,0017833844158451
"42";"coreia";687;0,00176794385813216
"43";"eua";651;0,00167530051185449
"44";"petista";636;0,00163669911757213
"45";"juiz";634;0,00163155226500115
"46";"deputado";632;0,00162640541243016
"47";"so";625;0,00160839142843173
"48";"caso";623;0,00160324457586075
"49";"policia";623;0,00160324457586075
"50";"paulo";592;0,00152346836101053
"51";"mil";587;0,00151060122958308
"52";"tudo";575;0,00147972011415719
"53";"justica";569;0,00146427955644425
"54";"estado";563;0,0014488389987313
"55";"todos";562;0,00144626557244581
"56";"stf";561;0,00144369214616032
"57";"mundo";554;0,00142567816216188
"58";"michel";549;0,00141281103073443
"59";"fazer";547;0,00140766417816345
"60";"senador";547;0,00140766417816345
"61";"norte";546;0,00140509075187796
"62";"porque";546;0,00140509075187796
"63";"operacao";537;0,00138192991530854
"64";"publico";518;0,00133303481588422
"65";"parte";509;0,0013098739793148
"66";"jato";508;0,00130730055302931
"67";"agora";506;0,00130215370045833
"68";"casa";499;0,00128413971645989
"69";"cunha";499;0,00128413971645989
"70";"informou";499;0,00128413971645989
"71";"lava";498;0,0012815662901744
"72";"fez";496;0,00127641943760342
"73";"republica";486;0,00125068517474851
"74";"pf";485;0,00124811174846302
"75";"impeachment";477;0,00122752433817909
"76";"globo";472;0,00121465720675164
"77";"onde";469;0,00120693692789517
"78";"afirmou";467;0,00120179007532419
"79";"politicos";466;0,0011992166490387
"80";"segundo";463;0,00119149637018222
"81";"jornalista";461;0,00118634951761124
"82";"outros";460;0,00118377609132575
"83";"jornal";449;0,00115546840218535
"84";"sendo";448;0,00115289497589986
"85";"prisao";446;0,00114774812332888
"86";"dois";440;0,00113230756561594
"87";"corrupcao";439;0,00112973413933045
"88";"todo";439;0,00112973413933045
"89";"vez";438;0,00112716071304496
"90";"sociais";436;0,00112201386047397
"91";"qualquer";435;0,00111944043418848
"92";"delacao";432;0,00111172015533201
"93";"odebrecht";432;0,00111172015533201
"94";"camara";430;0,00110657330276103
"95";"ano";428;0,00110142645019005
"96";"ministerio";427;0,00109885302390456
"97";"dias";421;0,00108341246619161
"98";"eduardo";420;0,00108083903990612
"99";"filho";420;0,00108083903990612
"100";"processo";418;0,00107569218733514
"101";"grupo";417;0,00107311876104965
"102";"bem";416;0,00107054533476416
"103";"defesa";416;0,00107054533476416
"104";"redes";416;0,00107054533476416
"105";"senado";416;0,00107054533476416
"106";"vida";411;0,0010576782033367
"107";"pra";410;0,00105510477705121
"108";"politica";409;0,00105253135076572
"109";"preso";403;0,00103709079305278
"110";"bolsonaro";395;0,00101650338276885
"111";"informacoes";394;0,00101392995648336
"112";"momento";393;0,00101135653019787
"113";"apenas";391;0,00100620967762689
"114";"rousseff";385;0,000990769119913945
"115";"podera";383;0,000985622267342963
"116";"abaixo";379;0,000975328562201
"117";"povo";378;0,000972755135915509
"118";"jose";376;0,000967608283344528
"119";"alem";367;0,000944447446775111
"120";"lei";360;0,000926433462776676
"121";"trump";359;0,000923860036491185
"122";"familia";351;0,000903272626207259
"123";"kim";351;0,000903272626207259
"124";"grande";350;0,000900699199921768
"125";"maior";350;0,000900699199921768
"126";"silva";348;0,000895552347350786
"127";"assim";347;0,000892978921065296
"128";"faz";347;0,000892978921065296
"129";"nada";347;0,000892978921065296
"130";"petrobras";347;0,000892978921065296
"131";"alguns";341;0,000877538363352351
"132";"guerra";339;0,000872391510781369
"133";"poder";339;0,000872391510781369
"134";"atraves";334;0,000859524379353916
"135";"aecio";330;0,000849230674211953
"136";"brasilia";329;0,000846657247926462
"137";"empresa";327;0,00084151039535548
"138";"desde";325;0,000836363542784499
"139";"quer";324;0,000833790116499008
"140";"nacional";323;0,000831216690213517
"141";"fato";321;0,000826069837642536
"142";"nome";319;0,000820922985071554
"143";"politico";318;0,000818349558786063
"144";"brasileiro";317;0,000815776132500573
"145";"partido";315;0,000810629279929591
"146";"aqui";312;0,000802909001073119
"147";"conta";311;0,000800335574787628
"148";"antes";309;0,000795188722216646
"149";"outro";309;0,000795188722216646
"150";"rio";308;0,000792615295931156
"151";"seguranca";307;0,000790041869645665
"152";"gente";306;0,000787468443360174
"153";"homem";304;0,000782321590789193
"154";"militar";300;0,00077202788564723
"155";"entrevista";298;0,000766881033076248
"156";"ontem";298;0,000766881033076248
"157";"cargo";296;0,000761734180505266
"158";"novo";296;0,000761734180505266
"159";"renan";296;0,000761734180505266
"160";"deputados";295;0,000759160754219776
"161";"sido";294;0,000756587327934285
"162";"semana";291;0,000748867049077813
"163";"tempo";291;0,000748867049077813
"164";"situacao";290;0,000746293622792322
"165";"leia";289;0,000743720196506831
"166";"porem";289;0,000743720196506831
"167";"brasileiros";288;0,00074114677022134
"168";"campanha";285;0,000733426491364868
"169";"informacao";282;0,000725706212508396
"170";"veja";282;0,000725706212508396
"171";"presidencia";281;0,000723132786222905
"172";"programa";281;0,000723132786222905
"173";"fim";280;0,000720559359937414
"174";"menos";280;0,000720559359937414
"175";"rede";280;0,000720559359937414
